Date,Store ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Category_Type,Season,Name,Units_Sold_Lag1,Units_Sold_Lag7,Units_Sold_MA7,Inventory_to_Sales,Is_Spring,Is_Summer,Is_Monsoon,Is_Autumn,Is_Pre-winter,Is_Winter
02-01-2022,S004,Electronics,North,144,22,45,39.12,74.16,15,Rainy,0,69.74,Autumn,winter,Smartwatches,0,0,22.0,6.545454545,0,0,0,0,0,1
03-01-2022,S004,Groceries,East,175,66,140,56.84,83.63,15,Sunny,0,79.9,Summer,winter,Cold Drinks,22,0,44.0,2.651515152,0,0,0,0,0,1
06-01-2022,S004,Groceries,South,185,101,69,106.55,16.86,20,Cloudy,0,12.11,Autumn,winter,Spices,66,0,63.0,1.831683168,0,0,0,0,0,1
08-01-2022,S004,Clothing,East,62,23,131,28.07,24.71,20,Cloudy,1,25.11,Spring,winter,Coat,101,0,53.0,2.695652174,0,0,0,0,0,1
09-01-2022,S004,Clothing,West,391,253,163,250.85,80.62,0,Rainy,0,79.01,Autumn,winter,Hoodies,23,0,93.0,1.545454545,0,0,0,0,0,1
10-01-2022,S004,Groceries,East,310,280,145,279.05,20.82,0,Cloudy,0,17.27,Winter,winter,Hot Chocolate,253,0,124.1666667,1.107142857,0,0,0,0,0,1
11-01-2022,S004,Electronics,East,147,45,129,41.43,54.34,0,Rainy,1,53.68,Autumn,winter,Laptops,280,0,112.8571429,3.266666667,0,0,0,0,0,1
13-01-2022,S004,Groceries,West,206,171,65,188.57,35.78,20,Rainy,1,32.92,Summer,winter,Fruits,45,22,134.1428571,1.204678363,0,0,0,0,0,1
14-01-2022,S004,Groceries,South,93,39,180,37.77,64.07,20,Rainy,0,68.04,Winter,winter,Hot Chocolate,171,66,130.2857143,2.384615385,0,0,0,0,0,1
15-01-2022,S004,Clothing,West,429,59,108,62.45,99.7,20,Sunny,1,98.38,Autumn,winter,Jeans,39,101,124.2857143,7.271186441,0,0,0,0,0,1
16-01-2022,S004,Groceries,East,213,170,59,184.27,68.89,5,Snowy,1,73.87,Autumn,winter,Sauces,59,23,145.2857143,1.252941176,0,0,0,0,0,1
18-01-2022,S004,Groceries,North,480,375,148,368.33,15.05,20,Cloudy,1,12.79,Spring,winter,Hot Chocolate,170,253,162.7142857,1.28,0,0,0,0,0,1
19-01-2022,S004,Clothing,North,313,116,79,125.09,45.51,20,Sunny,0,47.1,Spring,winter,Coat,375,280,139.2857143,2.698275862,0,0,0,0,0,1
21-01-2022,S004,Clothing,North,117,69,104,78.69,29.64,10,Rainy,0,34.25,Winter,winter,Sweaters,116,45,142.7142857,1.695652174,0,0,0,0,0,1
22-01-2022,S004,Clothing,North,161,155,158,174.61,67.26,5,Cloudy,1,67.67,Autumn,winter,Cardigans,69,171,140.4285714,1.038709677,0,0,0,0,0,1
23-01-2022,S004,Clothing,East,113,16,110,11.82,25.15,20,Snowy,0,28.01,Summer,winter,T-Shirts,155,39,137.1428571,7.0625,0,0,0,0,0,1
24-01-2022,S004,Clothing,East,396,197,126,212.17,85.2,15,Cloudy,0,86.92,Winter,winter,Sweaters,16,59,156.8571429,2.010152284,0,0,0,0,0,1
27-01-2022,S004,Clothing,North,470,369,176,373.95,34.98,20,Snowy,0,37.88,Winter,winter,Scarves,197,170,185.2857143,1.273712737,0,0,0,0,0,1
28-01-2022,S004,Clothing,North,486,42,188,32.51,66.32,15,Rainy,0,65.19,Summer,winter,T-Shirts,369,375,137.7142857,11.57142857,0,0,0,0,0,1
30-01-2022,S004,Electronics,North,428,94,39,110.03,88.85,20,Cloudy,1,85.86,Spring,winter,Heater,42,116,134.5714286,4.553191489,0,0,0,0,0,1
02-02-2022,S004,Clothing,South,326,321,152,322.51,12.49,20,Cloudy,0,10.73,Summer,winter,T-Shirts,94,69,170.5714286,1.015576324,0,0,0,0,0,1
04-02-2022,S004,Clothing,North,387,341,158,343.36,81.45,15,Rainy,0,77.35,Spring,winter,Coat,321,155,197.1428571,1.134897361,0,0,0,0,0,1
05-02-2022,S004,Groceries,East,53,11,186,7.25,40.6,15,Sunny,1,45.11,Spring,winter,Hot Chocolate,341,16,196.4285714,4.818181818,0,0,0,0,0,1
06-02-2022,S004,Clothing,North,303,282,167,272.51,41.13,15,Snowy,0,39.52,Winter,winter,Jackets,11,197,208.5714286,1.074468085,0,0,0,0,0,1
10-02-2022,S004,Groceries,West,495,266,186,265.08,40.46,10,Cloudy,0,40.25,Summer,winter,Cold Drinks,282,369,193.8571429,1.860902256,0,0,0,0,0,1
11-02-2022,S004,Electronics,North,324,235,107,254.69,20.92,15,Sunny,1,20.35,Autumn,winter,Smartwatches,266,42,221.4285714,1.378723404,0,0,0,0,0,1
15-02-2022,S004,Clothing,West,252,231,189,239.6,84.17,10,Sunny,0,81.28,Summer,spring,Shorts,235,94,241.0,1.090909091,1,0,0,0,0,0
17-02-2022,S004,Electronics,North,184,115,30,106.04,75.96,10,Snowy,0,80.7,Winter,spring,Electric Blankets,231,321,211.5714286,1.6,1,0,0,0,0,0
18-02-2022,S004,Groceries,East,129,22,39,41.48,10.84,15,Sunny,1,13.93,Summer,spring,Ice Cream,115,341,166.0,5.863636364,1,0,0,0,0,0
19-02-2022,S004,Clothing,North,347,337,51,356.7,91.83,15,Sunny,0,94.1,Spring,spring,Light Jacket,22,11,212.5714286,1.029673591,1,0,0,0,0,0
23-02-2022,S004,Clothing,North,54,54,145,50.47,17.6,10,Rainy,1,12.74,Summer,spring,Sunglasses,337,282,180.0,1.0,1,0,0,0,0,0
26-02-2022,S004,Groceries,South,451,67,83,63.24,41.2,0,Sunny,0,41.75,Winter,spring,Soups,54,266,151.5714286,6.731343284,1,0,0,0,0,0
28-02-2022,S004,Electronics,South,129,101,33,91.62,40.0,10,Snowy,1,39.64,Winter,spring,Geysers,67,235,132.4285714,1.277227723,1,0,0,0,0,0
01-03-2022,S004,Groceries,North,222,219,128,228.39,86.75,20,Rainy,1,85.88,Summer,spring,Ice Cream,101,231,130.7142857,1.01369863,1,0,0,0,0,0
05-03-2022,S004,Electronics,North,486,423,155,425.45,18.28,15,Sunny,1,21.97,Summer,spring,ACs,219,115,174.7142857,1.14893617,1,0,0,0,0,0
06-03-2022,S004,Groceries,North,404,320,51,322.57,93.61,10,Snowy,0,98.46,Spring,spring,Strawberries,423,22,217.2857143,1.2625,1,0,0,0,0,0
08-03-2022,S004,Groceries,East,319,89,25,91.46,11.47,5,Rainy,0,8.26,Summer,spring,Ice Cream,320,337,181.8571429,3.584269663,1,0,0,0,0,0
10-03-2022,S004,Clothing,North,162,43,74,53.53,95.25,0,Snowy,0,98.92,Autumn,spring,Cardigans,89,54,180.2857143,3.76744186,1,0,0,0,0,0
11-03-2022,S004,Clothing,West,339,116,123,109.0,76.54,20,Cloudy,0,73.38,Spring,spring,Light Jacket,43,67,187.2857143,2.922413793,1,0,0,0,0,0
12-03-2022,S004,Groceries,East,425,329,162,332.36,78.18,15,Cloudy,0,76.71,Summer,spring,Cold Drinks,116,101,219.8571429,1.291793313,1,0,0,0,0,0
13-03-2022,S004,Electronics,East,85,84,71,94.26,30.04,10,Snowy,1,28.68,Autumn,spring,Tablets,329,219,200.5714286,1.011904762,1,0,0,0,0,0
15-03-2022,S004,Clothing,South,390,189,136,189.31,27.53,15,Snowy,1,22.55,Summer,spring,Shorts,84,423,167.1428571,2.063492063,1,0,0,0,0,0
16-03-2022,S004,Groceries,North,287,133,183,128.44,29.51,5,Snowy,1,24.82,Winter,spring,Hot Chocolate,189,320,140.4285714,2.157894737,1,0,0,0,0,0
18-03-2022,S004,Clothing,South,226,56,131,52.58,90.59,15,Cloudy,1,87.72,Winter,spring,Sweaters,133,89,135.7142857,4.035714286,1,0,0,0,0,0
19-03-2022,S004,Electronics,North,151,81,160,90.36,10.7,20,Cloudy,0,14.68,Summer,spring,ACs,56,43,141.1428571,1.864197531,1,0,0,0,0,0
20-03-2022,S004,Groceries,North,106,79,71,72.88,71.19,10,Snowy,1,69.76,Spring,spring,Strawberries,81,116,135.8571429,1.341772152,1,0,0,0,0,0
21-03-2022,S004,Groceries,North,89,60,59,65.26,17.42,15,Rainy,0,20.86,Winter,spring,Soups,79,329,97.42857143,1.483333333,1,0,0,0,0,0
22-03-2022,S004,Clothing,North,376,112,198,103.91,83.4,0,Rainy,0,82.08,Summer,spring,T-Shirts,60,84,101.4285714,3.357142857,1,0,0,0,0,0
24-03-2022,S004,Electronics,South,381,290,181,298.68,62.28,20,Sunny,0,64.61,Summer,spring,Fans,112,189,115.8571429,1.313793103,1,0,0,0,0,0
25-03-2022,S004,Clothing,West,227,64,73,73.02,84.81,20,Rainy,1,87.5,Winter,spring,Sweaters,290,133,106.0,3.546875,1,0,0,0,0,0
26-03-2022,S004,Electronics,West,321,318,81,327.68,98.32,15,Cloudy,0,96.69,Spring,spring,Smartphone,64,56,143.4285714,1.009433962,1,0,0,0,0,0
27-03-2022,S004,Groceries,West,496,319,177,338.79,58.35,15,Snowy,0,63.33,Winter,spring,Canned Food,318,81,177.4285714,1.554858934,1,0,0,0,0,0
28-03-2022,S004,Clothing,East,298,257,162,274.08,28.58,10,Sunny,1,31.4,Winter,spring,Scarves,319,79,202.8571429,1.159533074,1,0,0,0,0,0
29-03-2022,S004,Groceries,South,78,54,200,66.65,81.2,5,Rainy,0,77.7,Summer,spring,Ice Cream,257,60,202.0,1.444444444,1,0,0,0,0,0
30-03-2022,S004,Electronics,South,471,198,178,204.04,50.61,15,Snowy,0,47.74,Autumn,spring,Laptops,54,112,214.2857143,2.378787879,1,0,0,0,0,0
01-04-2022,S004,Electronics,South,64,10,126,17.82,14.05,20,Snowy,1,16.66,Autumn,spring,Laptops,198,290,174.2857143,6.4,1,0,0,0,0,0
03-04-2022,S004,Clothing,East,429,24,99,25.28,12.34,5,Rainy,0,15.91,Spring,spring,Light Jacket,10,64,168.5714286,17.875,1,0,0,0,0,0
04-04-2022,S004,Clothing,South,179,145,87,155.91,98.48,15,Snowy,0,99.82,Winter,spring,Scarves,24,318,143.8571429,1.234482759,1,0,0,0,0,0
05-04-2022,S004,Groceries,South,179,175,128,177.52,25.29,0,Sunny,1,24.73,Autumn,spring,Spices,145,319,123.2857143,1.022857143,1,0,0,0,0,0
06-04-2022,S004,Clothing,South,230,120,199,118.48,20.42,20,Cloudy,0,17.62,Spring,spring,Light Jacket,175,257,103.7142857,1.916666667,1,0,0,0,0,0
07-04-2022,S004,Groceries,West,482,61,186,72.36,88.2,15,Cloudy,0,92.99,Spring,spring,Strawberries,120,54,104.7142857,7.901639344,1,0,0,0,0,0
08-04-2022,S004,Clothing,North,91,44,117,47.12,26.73,5,Rainy,0,23.39,Summer,spring,T-Shirts,61,198,82.71428571,2.068181818,1,0,0,0,0,0
09-04-2022,S004,Groceries,West,262,223,121,224.0,76.46,5,Cloudy,1,75.83,Winter,spring,Soups,44,10,113.1428571,1.174887892,1,0,0,0,0,0
10-04-2022,S004,Clothing,West,270,249,56,244.47,22.12,15,Snowy,0,23.5,Autumn,spring,Jeans,223,24,145.2857143,1.084337349,1,0,0,0,0,0
11-04-2022,S004,Electronics,North,424,220,182,219.24,28.56,10,Rainy,1,32.17,Summer,spring,ACs,249,145,156.0,1.927272727,1,0,0,0,0,0
12-04-2022,S004,Groceries,South,199,198,120,204.15,12.22,10,Cloudy,1,11.25,Autumn,spring,Spices,220,175,159.2857143,1.005050505,1,0,0,0,0,0
13-04-2022,S004,Groceries,East,173,53,36,55.01,42.77,20,Rainy,0,46.39,Spring,spring,Strawberries,198,120,149.7142857,3.264150943,1,0,0,0,0,0
15-04-2022,S004,Groceries,North,472,444,177,437.24,37.18,15,Sunny,1,36.92,Summer,summer,Fruits,53,61,204.4285714,1.063063063,0,1,0,0,0,0
16-04-2022,S004,Clothing,South,289,175,144,183.42,89.19,0,Cloudy,0,85.63,Winter,summer,Jackets,444,44,223.1428571,1.651428571,0,1,0,0,0,0
18-04-2022,S004,Groceries,East,423,401,196,393.42,42.84,20,Rainy,0,46.34,Spring,summer,Ice Cream,175,223,248.5714286,1.054862843,0,1,0,0,0,0
19-04-2022,S004,Clothing,South,446,95,171,108.06,93.61,10,Cloudy,1,95.86,Summer,summer,T-Shirts,401,249,226.5714286,4.694736842,0,1,0,0,0,0
20-04-2022,S004,Groceries,East,230,78,180,70.55,43.15,20,Sunny,0,38.63,Autumn,summer,Spices,95,220,206.2857143,2.948717949,0,1,0,0,0,0
25-04-2022,S004,Electronics,East,377,183,97,201.19,96.87,20,Snowy,0,98.07,Autumn,summer,Laptops,78,198,204.1428571,2.06010929,0,1,0,0,0,0
26-04-2022,S004,Electronics,East,278,18,142,26.93,62.7,5,Rainy,1,63.65,Autumn,summer,Tablets,183,53,199.1428571,15.44444444,0,1,0,0,0,0
27-04-2022,S004,Electronics,East,166,9,198,27.59,30.57,15,Sunny,1,28.75,Spring,summer,Air Conditioner,18,444,137.0,18.44444444,0,1,0,0,0,0
28-04-2022,S004,Electronics,East,219,183,78,201.73,21.57,10,Cloudy,1,16.69,Autumn,summer,Smartwatches,9,175,138.1428571,1.196721311,0,1,0,0,0,0
